entityId	splineId	mode	speed	fx	fy	fz
1	7585	1	3	0	0	0
10	1435	1	3	0	0	0
30	6105	2	3	0	0	0
56	5419	1	3	0	0	0
81	5777	1	3	0	0	0
96	16476	1	3	0	0	0
110	16469	8	3	0	0	0
111	16470	8	3	0	0	0
117	5424	2	3	0	0	0
126	5425	2	3	0	0	0
130	5426	2	3	0	0	0
131	5421	2	3	0	0	0
149	20186	1	3	0	0	0
216	3281	1	3	0	0	0
223	20217	1	3	0	0	0
252	4380	1	3	0	0	0
285	5278	8	2.5	0	0	0
294	210	1	3	0	0	0
365	5582	2	3	0	0	0
366	3787	2	3	0	0	0
367	3786	2	3	0	0	0
368	3789	2	3	4	0	-2
369	3779	2	3	4	0	-2
370	4121	2	3	0	0	0
371	3778	2	3	0	0	0
372	3788	2	3	0	0	0
373	4119	2	3	0	0	0
374	3783	2	3	4	0	-2
375	3782	2	3	0	0	0
376	3790	2	3	0	0	0
377	3785	2	3	0	0	0
378	4124	2	3	0	0	0
379	3774	2	3	0	0	0
380	3777	2	3	0	0	0
381	3780	2	3	0	0	0
382	3784	2	3	0	0	0
383	3772	2	3	0	0	0
384	3773	2	3	4	0	-2
385	4232	2	3	0	0	0
386	4231	2	3	4	0	-2
387	4237	2	3	4	0	-2
388	4233	2	3	0	0	0
389	4228	2	3	0	0	0
390	4234	2	3	0	0	0
391	4229	2	3	0	0	0
392	4235	2	3	4	0	-2
393	3788	2	3	4	0	-2
394	3782	2	3	4	0	-2
395	3785	2	3	4	0	-2
396	3774	2	3	4	0	-2
397	3777	2	3	4	0	-2
398	3780	2	3	4	0	-2
399	4234	2	3	4	0	-2
415	4040	1	3	0	0	0
416	4063	1	3	0	0	0
417	4052	2	3	0	0	0
419	4041	1	3	0	0	0
518	4929	2	3	0	0	0
519	4928	2	3	0	0	0
520	4927	2	3	0	0	0
601	17808	1	3	0	0	0
652	4220	1	3	4	0	-2
667	4236	1	3	0	0	0
689	15807	1	3	0	0	0
698	19803	1	3	0	0	0
702	3258	1	3	0	0	0
706	19804	1	3	0	0	0
718	6230	1	3	0	0	0
794	4445	1	3	0	0	0
817	3801	2	3	0	0	0
864	5872	1	3	0	0	0
921	4218	2	3	0	0	0
922	15803	1	3	0	0	0
924	4374	8	3	0	0	0
930	6347	1	3	0	0	0
976	5023	1	3	0	0	0
998	4434	1	3	0	0	0
1003	4412	2	3	0	0	0
1004	4413	1	3	0	0	0
1005	15808	1	3	0	0	0
1009	4437	1	3	0	0	0
1010	4436	1	3	0	0	0
1011	4438	1	3	0	0	0
1031	3887	2	3	0	0	0
1035	4642	6	-1	0	0	0
1036	4641	6	-1	0	0	0
1161	4824	2	3	0	0	0
1162	11349	1	3	0	0	0
1233	5471	1	3	0	0	0
1235	4159	1	3	0	0	0
1249	5843	1	3	0	0	0
1250	6216	1	3	0	0	0
1255	6085	2	3	0	0	0
1259	17049	1	3	0	0	0
1261	4911	2	7	0	0	0
1264	4914	1	7	0	0	0
1276	16950	1	3	0	0	0
1292	5125	1	3	0	0	0
1296	5965	2	3	0	0	0
1306	5003	2	9	0	0	0
1307	5002	5	9	0	0	0
1308	4970	2	9	0	0	0
1310	5964	2	3	0	0	0
1314	14047	8	9	0	0	0
1372	6676	0	-1	0	0	0
1428	6133	1	3	0	0	0
1430	6677	0	10	0	0	0
1470	3803	2	3	0	0	0
1488	22897	1	3	0	0	0
1568	4411	1	3	0	0	0
1578	5579	1	3	0	0	0
1733	5695	2	3	0	0	0
1755	9015	1	3	0	0	0
1790	6128	1	3	0	0	0
1799	15910	1	3	0	0	0
1806	5696	2	3	0	0	0
1809	22164	8	3	0	0	0
1810	22163	8	3	0	0	0
1815	5657	8	3	0	0	0
1816	5659	8	3	0	0	0
1817	5662	8	3	0	0	0
1818	5665	8	3	0	0	0
1828	3378	1	3	0	0	0
1832	3775	2	3	0	0	0
1853	5653	2	3	0	0	0
1855	5687	8	3	0	0	0
1859	5688	8	3	0	0	0
1861	5668	8	3	0	0	0
1862	5670	1	3	0	0	0
1864	5672	8	3	0	0	0
1865	5686	8	3	0	0	0
1874	5689	8	3	-2	0	4
1887	5698	8	3	2	0	4
1898	5740	8	3	-2	0	4
1899	5739	8	3	-2	0	4
1900	5738	8	3	0	0	0
1910	5730	8	3	0	0	0
1911	5747	8	3	0	0	0
1913	5742	8	3	-4	0	-2
1918	5730	8	3	-2	0	4
1919	5747	8	3	-4	0	2
1921	5725	1	3	0	0	0
1922	5740	8	3	0	0	0
1923	5739	8	3	0	0	0
